GIMIMO_METAI,GIMIMO_VALSTYBE,LYTIS,SEIMOS_PADETIS,KIEK_TURI_VAIKU,SENIUNIJA,GATVE,SENIUNNR,TER_REJ_KODAS,GATV_K,GAT_ID
1937,LTU,V,N,0,Paneriai,"Liudvinavo g.",20,G1,296,22146
2022,LTU,V,,0,Verkiai,"Babinių Sodų 4-oji g.",1,G1,1756,50272
1971,BLR,M,V,1,Verkiai,"Rugių g.",1,G1,465,22306
1974,LTU,V,V,0,Naujininkai,"Dusinėnų g.",19,G1,992,32121
1979,LTU,M,,0,Viršuliškės,"Č. Sugiharos g.",9,G1,724,24274
2014,USA,V,,0,Senamiestis,"Subačiaus g.",16,G1,522,22362
2016,LTU,M,,0,Pašilaičiai,"Pavilnionių g.",7,G1,2546,59086
1976,LTU,M,V,0,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
2016,LTU,V,,0,Vilkpėdė,"Geležinio Vilko g.",18,G1,139,21995
1970,UKR,M,,0,,,,A461,,
1986,LTU,V,,0,Naujamiestis,"Savanorių pr.",17,G1,487,22328
2021,LTU,V,,0,Pašilaičiai,"Perkūnkiemio g.",7,G1,2710,64998
1976,LTU,M,V,2,Pašilaičiai,"Gabijos g.",7,G1,125,21981
1981,LTU,V,V,2,"Naujoji  Vilnia","Broniaus Kazio Balučio g.",14,G1,2882,85969
1987,LTU,V,V,2,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
1964,LTU,V,V,0,Naujininkai,"Vaikų g.",19,G1,2028,26742
1973,BLR,V,I,1,Grigiškės,"Kovo 11-osios g. (Grigiškės)",21,G89,528,24569
1994,LTU,V,,0,"Naujoji  Vilnia","Parko g.",14,G1,399,22244
2015,UKR,M,,0,,,,A461,,
2002,LTU,V,,0,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
1975,UKR,V,V,0,,,,A461,,
1991,BLR,V,,0,"Naujoji  Vilnia","Dūmų g.",14,G1,712,24260
1945,RUS,M,V,0,Antakalnis,"Prano Morkūno g.",13,G1,878,29362
2013,LTU,M,,0,"Naujoji  Vilnia","M. Davainio-Silvestraičio g.",14,G1,717,24263
1951,LTU,V,V,0,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
1974,LTU,V,V,1,"Naujoji  Vilnia","P. B. Šivickio g.",14,G1,994,32125
2018,LTU,V,,0,Antakalnis,"Saulėtekio al.",13,G1,486,22327
2021,LTU,V,,0,Verkiai,"Mokyklos g.",1,G1,350,22197
1984,LTU,M,V,2,Pašilaičiai,"Leičių g.",7,G1,2709,64996
1978,BLR,V,V,0,Fabijoniškės,"Fabijoniškių g.",4,G1,121,21977
1969,LTU,V,I,0,Lazdynai,"Žėručio g.",11,G1,706,22534
1971,LTU,M,I,0,Antakalnis,"Gelvadiškių Sodų 5-oji g.",13,G1,2156,53132
1993,LTU,M,V,0,Verkiai,"Juozo Balčikonio g.",1,G1,2874,85953
1949,RUS,M,V,0,Verkiai,"Popieriaus g.",1,G1,428,22270
1967,LTU,V,V,2,Žvėrynas,"Miglos g.",6,G1,340,22188
2001,LTU,M,,0,Paneriai,"Drevininkų g.",20,G1,2144,52992
1941,RUS,M,I,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1937,LTU,M,N,0,Fabijoniškės,"S. Stanevičiaus g.",4,G1,492,22333
1985,GEO,V,,0,Grigiškės,"Kunigiškių g. (Grigiškės)",21,G89,529,24570
1952,LTU,V,V,0,Justiniškės,"Taikos g.",8,G1,536,22375
1966,LTU,M,V,0,Pilaitė,"I. Kanto al.",12,G1,168,22022
2008,LTU,M,,0,Verkiai,"Fizikų g.",1,G1,1584,48794
1977,LTU,V,V,2,Šeškinė,"Šeškinės g.",5,G1,653,22485
1984,LTU,M,V,2,Pilaitė,"Tolminkiemio g.",12,G1,547,22386
1952,LTU,M,V,0,Pilaitė,"Papilėnų g.",12,G1,396,22241
1983,LTU,M,V,1,,,,G1,3614,
2019,LTU,M,,0,Pašilaičiai,"Medeinos g.",7,G1,330,22178
1949,LTU,V,V,0,Šeškinė,"Gelvonų g.",5,G1,141,21997
1958,RUS,M,V,0,Naujamiestis,"V. Pietario g.",17,G1,583,22419
1960,LTU,V,V,0,Žvėrynas,"Pušų g.",6,G1,43,21901
1981,LTU,M,V,1,Antakalnis,"Juodvarnių Sodų 1-oji g.",13,G1,2181,53182
1994,MDA,V,,0,Pilaitė,"Karaliaučiaus g.",12,G1,223,22075
1990,LTU,M,V,0,Vilkpėdė,"S. Konarskio g.",18,G1,475,22316
1960,LTU,V,V,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1975,LTU,M,V,2,Fabijoniškės,"L. Giros g.",4,G1,266,22117
1991,UKR,V,,0,Senamiestis,"Aukštaičių g.",16,G1,38,21897
1948,BLR,V,N,0,Naujininkai,"Naujininkų g.",19,G1,367,22212
1988,UKR,M,,0,"Naujoji  Vilnia","Lukšinės g.",14,G1,3117,238669
1987,LTU,M,,2,Rasos,"Subačiaus g.",15,G1,522,22362
2011,LTU,V,,0,Justiniškės,"Taikos g.",8,G1,536,22375
1959,LTU,V,V,0,Pilaitė,"Įsruties g.",12,G1,643,22475
1932,LTU,M,N,0,Žirmūnai,"Minties g.",2,G1,345,22192
1979,LTU,V,V,2,Verkiai,"Bulvikio g.",1,G1,2793,69164
2008,LTU,V,,0,Viršuliškės,"Rygos g.",9,G1,469,22310
2017,LTU,M,,0,Justiniškės,"Taikos g.",8,G1,536,22375
1960,LTU,M,N,0,Verkiai,"Bajorų kel.",1,G1,800,28025
1978,LTU,V,V,2,Karoliniškės,"Laisvės pr.",10,G1,272,22123
1951,LTU,M,V,0,Karoliniškės,"Virginijaus Druskio g.",10,G1,412,22257
1955,LTU,V,V,0,Lazdynai,"Erfurto g.",11,G1,117,21973
